,X,journaltitle,pub.year,Gender,Institutional_Affiliation,PhD,author,title,X.1
2898,8100,Critical Inquiry,1974,M,UC Berkeley,Indiana University,Ralph W. Rader,"Fact, Theory, and Literary Explanation",
2901,26100,Critical Inquiry,1975,M,UC Berkeley,Indiana University,Ralph W. Rader,Explaining Our Literary Understanding: A Response to Jay Schleusener and Stanley Fish,
2908,6410,Critical Inquiry,1976,M,UC Berkeley,Indiana University,Ralph W. Rader,The Dramatic Monologue and Related Lyric Forms,
2920,18510,Critical Inquiry,1979,M,UC Berkeley,Indiana University,Ralph W. Rader,The Literary Theoretical Contribution of Sheldon Sacks,
2946,3751,Critical Inquiry,1984,M,UC Berkeley,Indiana University,Ralph W. Rader,The Logic of Ulysses,
3003,888,PMLA,1991,M,UC Berkeley,Indiana University,Ignacio Navarrete,Decentering Garcilaso: Herrera's Attack on the Canon,
3141,21112,Representations,2011,M,UC Berkeley,Indiana University,George Lakoff,"The Brain, The Mind, and the Threat to Public Universities",
3186,7692,New Literary History,1994,F,UC Davis,Indiana University,Brenda Deen Schildgen,Augustine's Answer to Jacques Derrida in the De Doctrina Christiana,
3196,7702,New Literary History,2003,M,UC Davis,Indiana University,Sheldon H. Lu,Waking to Modernity: The Classical Tale in Late-Qing China,
3295,890,PMLA,1976,M,UC Riverside,Indiana University,John M. Ganim,"Disorientation, Style, and Consciousness in Sir Gawain and the Green Knight",
3466,892,PMLA,1996,F,UCLA,Indiana University,Martha Banta,The Status of Evidence: A Roundtable,
3521,891,PMLA,2014,F,UCLA,Indiana University,Felicity A. Nussbaum,The Unaccountable Pleasure of Eighteenth-Century Tragedy,
3885,893,PMLA,1974,F,University of Cincinnati,Indiana University,Annemarie E. Mahler,The Representation of Visual Reality in Perceval and Parzival,
4021,894,PMLA,1994,F,University of Georgia,Indiana University,Tricia Lootens,"Hemans and Home: Victorianism, Feminine ""Internal Enemies,"" and the Domestication of National Identity",
4068,895,PMLA,1999,M,University of Houston,Indiana University,Terrell Dixon,Forum on Literatures of the Environment,
4103,4210,Critical Inquiry,1975,M,"University of Illinois, Urbana",Indiana University,Robert L. Carringer,"Citizen Kane, The Great Gatsby and Some Conventions of American Narrative",
4109,15310,Critical Inquiry,1978,M,"University of Illinois, Urbana",Indiana University,Robert L. Carringer,"The Scripts of ""Citizen Kane""""""",
4113,31510,Critical Inquiry,1982,M,"University of Illinois, Urbana",Indiana University,Robert L. Carringer,"Orson Welles and Gregg Toland: Their Collaboration on ""Citizen Kane""""""",
4102,898,PMLA,1974,M,"University of Illinois, Urbana",Indiana University,Robert L. Carringer,Circumscription of Space and the Form of Poe's Arthur Gordon Pym,
4104,897,PMLA,1976,M,"University of Illinois, Urbana",Indiana University,Robert L. Carringer,"Rosebud, Dead or Alive: Narrative and Symbolic Structure in Citizen Kane",
4121,896,PMLA,2001,M,"University of Illinois, Urbana",Indiana University,Robert L. Carringer,Collaboration and Concepts of Authorship,
4168,901,PMLA,1970,M,University of Kansas,Indiana University,John P. Farrell,Matthew Arnold's Tragic Vision,
4170,900,PMLA,1971,M,University of Kansas,Indiana University,Jack Weiner,Galdós' Doña Perfecta and Turgenev's Fathers and Sons: Two Interpretations of the Conflict between Generations,
1725,879,PMLA,2006,F,"University of Lousiana, Lafayette",Indiana University,Yung-Hsing Wu,Native Sons and Native Speakers,
4476,903,PMLA,1975,M,"University of Missouri, Kansas City",Indiana University,Jonas Spatz,"The Mystery of Eros: Sexual Initiation in Coleridge's ""Christabel""",
4573,904,PMLA,1996,F,University of Northern Colorado,Indiana University,Joonok Huh,The Inevitability of the Personal,
4675,11562,New Literary History,1973,M,University of Pennsylvania,Indiana University,Dell Hymes,An Ethnographic Perspective,
4681,11582,New Literary History,1977,M,University of Pennsylvania,Indiana University,Dell Hymes,Discovering Oral Performance and Measured Verse in American Indian Narrative,
4683,11572,New Literary History,1978,M,University of Pennsylvania,Indiana University,Dell Hymes,Comments on Soviet Semiotics and Criticism,
4673,905,PMLA,1972,F,University of Pennsylvania,Indiana University,Judith Fetterley,Disenchantment: Tom Sawyer in Huckleberry Finn,
4787,906,PMLA,1975,M,University of Rochester,Indiana University,Russell A. Peck,Public Dreams and Private Myths: Perspective in Middle English Literature,
5010,21212,Representations,2014,M,University of Toronto,Indiana University,Cannon Schmitt,Technical Maturity in Robert Louis Stevenson,
5023,4810,Critical Inquiry,1975,M,University of Utah,Indiana University,T. H. Adamowski,"Being Perfect: Lawrence, Sartre, and ""Women in Love""""""",
5050,12913,New Literary History,1974,M,University of Virginia,Indiana University,James Deese,Mind and Metaphor: A Commentary,
5414,909,PMLA,1999,M,Wayne State University,Indiana University,William Slaymaker,Forum on Literatures of the Environment,
5416,908,PMLA,2001,M,Wayne State University,Indiana University,William Slaymaker,Ecoing the Other(s): The Call of Global Green and Black African Responses,
1705,20912,Representations,2004,M,Wayne State University,Indiana University,Cannon Schmitt,Darwin's Savage Mnemonics,
5410,21312,Representations,1993,M,Wayne State University,Indiana University,Jerry Herron,Homer Simpson's Eyes and the Culture of Late Nostalgia,
5581,6731,Critical Inquiry,1992,F,Yale,Indiana University,Sara Suleri,Woman Skin Deep: Feminism and the Postcolonial Condition,
278,21412,Representations,1990,M,Centre National de la Recherche Scientifique,"Institut d'Etudes Politiques, Paris",François Ewald,"Norms, Discipline, and the Law",
313,5741,Critical Inquiry,1990,M,Collège de France,Institut d’Études Augustiniennes,Pierre Hadot,Forms of Life and Forms of Discourse in Ancient Philosophy,
4865,12071,Critical Inquiry,2007,M,University of Strasbourg,Institut de Philosophie,Jean-Luc Nancy,Philosophy as Cahnce,
4643,7931,Critical Inquiry,1996,M,University of Paris III,Institut Français in Prague,Vladimir Jankélévitch,Should We Pardon Them?,
4658,9321,Critical Inquiry,2000,M,University of Paris VIII,Institut Français in Prague,Vladimir Jankélévitch,Pelléas and Pénélope,
1325,3532,New Literary History,1987,M,Jagiellonian University,Jagiellonian University,Henryk Markiewicz,Ut Pictura Poesis... A History of the Topos and the Problem,
71,5381,Critical Inquiry,1989,M,Bar-Ilan University,Jewish Theological Seminary of America,Daniel Boyarin,Toward a Dialogue with Edward Said,
73,5731,Critical Inquiry,1990,M,Bar-Ilan University,Jewish Theological Seminary of America,Daniel Boyarin,The Eye in the Torah: Ocular Desire in Midrashic Hermeneutic,
72,21512,Representations,1989,M,Bar-Ilan University,Jewish Theological Seminary of America,Daniel Boyarin,Language Inscribed by History on the Bodies of Living Beings: Midrash and Martyrdom,
3007,6601,Critical Inquiry,1992,M,UC Berkeley,Jewish Theological Seminary of America,Daniel Boyarin,This We Know to Be the Carnal Israel: Circumcision and the Erotic Life of God and Israel,
3012,6901,Critical Inquiry,1993,M,UC Berkeley,Jewish Theological Seminary of America,Daniel Boyarin,Diaspora: Generation and the Ground of Jewish Identity,
3114,12931,Critical Inquiry,2009,M,UC Berkeley,Jewish Theological Seminary of America,Daniel Boyarin,Patron Saint of the Incongruous,
3038,911,PMLA,1996,M,UC Berkeley,Jewish Theological Seminary of America,Daniel Boyarin,Enumerating the Obstacles,
3058,910,PMLA,1998,M,UC Berkeley,Jewish Theological Seminary of America,Daniel Boyarin,Four Views on Ethnicity,
3004,21812,Representations,1991,M,UC Berkeley,Jewish Theological Seminary of America,Daniel Boyarin,Internal Opposition in Talmudic Literature: The Case of the Married Monk,
3015,21912,Representations,1993,M,UC Berkeley,Jewish Theological Seminary of America,Daniel Boyarin,Paul and the Genealogy of Gender,
3088,21612,Representations,2004,M,UC Berkeley,Jewish Theological Seminary of America,Daniel Boyarin,The Christian Invention of Judaism,
3151,21712,Representations,2012,M,UC Berkeley,Jewish Theological Seminary of America,Daniel Boyarin,Deadly Dialogue,
2,17101,New Literary History,1998,M,Aarhus University,Johns Hopkins,Paisley Livingston,Intentionalism in Aesthetics,
42,912,PMLA,2011,F,Amherst College,Johns Hopkins,Karen Sánchez-Eppler,Marks of Possession: Methods for an Impossible Subject,
176,4261,Critical Inquiry,1986,F,Brown,Johns Hopkins,Ellen Rooney,Who's Left out? A Rose by Any Other Name Is Still Red,
181,7061,Critical Inquiry,1994,M,Brown,Johns Hopkins,Pierre Saint-Amand,Terrorizing Marie Antoinette,
221,22012,Representations,2002,F,California Institute of Technology,Johns Hopkins,Catherine Jurca,"Mildred Pierce, Warner Bros, and the Corporate Family",
266,9512,New Literary History,1989,M,Case Western Reserve,Johns Hopkins,Gary Lee Stonum,Cybernetic Explanation as a Theory of Reading,
339,14821,Critical Inquiry,2014,M,College of William and Mary,Johns Hopkins,Charles Palermo,Automatism,
475,913,PMLA,2011,F,Columbia,Johns Hopkins,Sharon Marcus,"Salomé!! Sarah Bernhardt, Oscar Wilde, and the Drama of Celebrity",
1848,936,PMLA,2015,F,Columbia,Johns Hopkins,Sharon Marcus,How to Talk about Books You Have Read,
470,22112,Representations,2010,M,Columbia,Johns Hopkins,Ross Posnock,"“Don't think, but look!”",
502,914,PMLA,1991,F,Concordia University,Johns Hopkins,Marcie Frank,The Camera and the Speculum: David Cronenberg's Dead Ringers,
534,15512,New Literary History,1983,M,Cornell,Johns Hopkins,Timothy Murray,"From Foul Sheets to Legitimate Model: Antitheater, Text, Ben Jonson",
536,916,PMLA,1983,M,Cornell,Johns Hopkins,Timothy Murray,Theatrical Legitimation: Forms of French Patronage and Portraiture,
571,915,PMLA,1996,M,Cornell,Johns Hopkins,Timothy Murray,Defining Interdisciplinarity,
735,22212,Representations,1987,M,Duke,Johns Hopkins,Michael Moon,"The Gentle Boy from the Dangerous Classes: Pederasty, Domesticity, and Capitalism in Horatio Alger",
921,22312,Representations,2000,M,Fordham University,Johns Hopkins,J. D. Connor,The Projections: Allegories of Industrial Crisis in Neoclassical Hollywood,
946,5451,Critical Inquiry,1989,M,Georgetown,Johns Hopkins,Michael Ragussis,"Representation, Conversion, and Literary Form: ""Harrington"""" and the Novel of Jewish Identity""",
947,7111,Critical Inquiry,1994,M,Georgetown,Johns Hopkins,Michael Ragussis,"The Birth of a Nation in Victorian Culture: The Spanish Inquisition, the Converted Daughter, and the ""Secret Race""""""",
951,9071,Critical Inquiry,2000,M,Georgetown,Johns Hopkins,Michael Ragussis,"Jews and Other ""Outlandish Englishmen"""": Ethnic Performance and the Invention of British Identity under the Georges""",
1183,922,PMLA,1970,M,Haverford College,Johns Hopkins,John R. Cary,"A Reading of Kleist's ""Michael Kohlhaas""",
1291,10961,Critical Inquiry,2005,M,Indiana University,Johns Hopkins,Fritz Breithaupt,The Invention of Trauma in German Romanticism,
1332,924,PMLA,2008,M,John Jay College of Criminal Justice,Johns Hopkins,Larry E. Sullivan,“Prison Is Dull Today”: Prison Libraries and the Irony of Pious Reading,
1390,7751,Critical Inquiry,1996,M,Johns Hopkins,Johns Hopkins,Mark McGurl,"Making It Big: Picturing the Radio Age in ""King Kong""""""",
1415,3592,New Literary History,2007,M,Johns Hopkins,Johns Hopkins,Eric Gans,"Qu'est-Ce Que La Littérature, Aujourd'Hui?",
1341,927,PMLA,1976,F,Johns Hopkins,Johns Hopkins,Laura Morlock,"Study III. Women in Modern Language Departments, 1972-73: A Report by the Commission on the Status of Women in the Profession",
1342,926,PMLA,1977,M,Johns Hopkins,Johns Hopkins,Henry Sussman,"The Court as Text: Inversion, Supplanting, and Derangement in Kafka's Der Prozeβ",
1405,925,PMLA,2004,M,Johns Hopkins,Johns Hopkins,Boris Tomashevsky,The New School of Literary History in Russia,
1368,22412,Representations,1988,F,Johns Hopkins,Johns Hopkins,Karen Sánchez-Eppler,Bodily Bonds: The Intersecting Rhetorics of Feminism and Abolition,
1411,22512,Representations,2005,F,Johns Hopkins,Johns Hopkins,Sue Waterman,Collecting the Nineteenth Century,
1652,22812,Representations,2001,F,Johns Hopkins,Johns Hopkins,Ruth Mack,The Historicity of Johnson's Lexicographer,
1469,933,PMLA,2011,F,Lewis and Clark College,Johns Hopkins,Rachel Cole,"Rethinking the Value of Lyric Closure: Giorgio Agamben, Wallace Stevens, and the Ethics of Satisfaction",
1473,3862,New Literary History,2011,M,Lingnan University,Johns Hopkins,Paisley Livingston,Philosophical Perspectives on Fictional Characters,
1529,22612,Representations,1991,F,Massachusetts Institute of Technology,Johns Hopkins,Mary C. Fuller,Ralegh's Fugitive Gold: Reference and Deferral in The Discoverie of Guiana,
1576,22712,Representations,1995,F,Miami University in Ohio,Johns Hopkins,Susan Maslan,Resisting Representation: Theater and Democracy in Revolutionary France,
1583,934,PMLA,1973,M,Michigan State University,Johns Hopkins,Bernard J. Paris,Notes from Underground: A Horneyan Analysis,
1609,935,PMLA,1999,F,Mount Holyoke College,Johns Hopkins,Amy Kaplan,The Birth of an Empire,
1926,938,PMLA,1985,M,New Mexico State University,Johns Hopkins,Reed Way Dasenbrock,The Petrachan Context of Spenser's Amoretti,
1927,937,PMLA,1987,M,New Mexico State University,Johns Hopkins,Reed Way Dasenbrock,Intelligibility and Meaningfulness in Multicultural Literature in English,
1969,4932,New Literary History,1988,M,Northwestern,Johns Hopkins,Jules David Law,Uncertain Grounds: Wittgenstein's On Certainty and the New Literary Pragmatism,
2009,4922,New Literary History,2010,F,Northwestern,Johns Hopkins,Bonnie Honig,Antigone's Two Laws: Greek Tragedy and the Politics of Humanism,
1966,23012,Representations,1986,M,Northwestern,Johns Hopkins,Michael Warner,Franklin and the Letters of the Republic,
2308,943,PMLA,1987,M,Princeton,Johns Hopkins,Jules David Law,"Joyce's ""Delicate Siamese"" Equation: The Dialectic of Home in Ulysses",
2401,23112,Representations,1991,F,Queen's University,Johns Hopkins,Elizabeth Hanson,Torture and Truth in Renaissance England,
2414,944,PMLA,2009,M,Reed College,Johns Hopkins,Jan Mieszkowski,Watching War,
2504,13721,Critical Inquiry,2011,M,Rutgers,Johns Hopkins,Jonathan Kramnick,Against Literary Darwinism,
2507,14161,Critical Inquiry,2012,M,Rutgers,Johns Hopkins,Jonathan Kramnick,Literary Studies and Science,
2484,948,PMLA,1997,M,Rutgers,Johns Hopkins,Jonathan Brody Kramnick,The Making of the English Canon,
2503,947,PMLA,2010,F,Rutgers,Johns Hopkins,Meredith L. McGill,The Future of the Literary Past,
2505,946,PMLA,2011,F,Rutgers,Johns Hopkins,Marcy Schwartz,The Right to Imagine: Reading in Community with People and Stories / Gente y Cuentos,
2508,945,PMLA,2012,F,Rutgers,Johns Hopkins,Marcy Schwartz,"Public Stakes, Public Stories: Service Learning in Literary Studies",
2596,949,PMLA,1989,M,"Southern Illinois University, Edwardsville",Johns Hopkins,Jeffrey Skoblow,Fish on Blind Submission,
2709,14181,Critical Inquiry,2012,M,Stanford,Johns Hopkins,Mark McGurl,The Posthuman Comedy,
2713,14551,Critical Inquiry,2013,M,Stanford,Johns Hopkins,Mark McGurl,“Neither Indeed Could I Forebear Smiling at My Self”,
2730,23212,Representations,2006,F,SUNY Albany,Johns Hopkins,Susan Blood,The Precinematic Novel,
2760,951,PMLA,2010,M,SUNY Buffalo,Johns Hopkins,Tim Dean,Sex and the Aesthetics of Existence,
2763,952,PMLA,1988,M,SUNY Geneseo,Johns Hopkins,John Michael,"History and Romance, Sympathy and Uncertainty: The Moral of the Stones in Hawthorne's Marble Faun",
2791,953,PMLA,1995,M,Syracuse University,Johns Hopkins,Donald Morton,Birth of the Cyberqueer,
2888,7392,New Literary History,1971,M,UC Berkeley,Johns Hopkins,John E. Jordan,Literary History at Berkeley,
3014,955,PMLA,1993,M,UC Berkeley,Johns Hopkins,Gian-Paolo Biasin,"Italo Calvino in Mexico: Food and Lovers, Tourists and Cannibals",
3031,954,PMLA,1995,F,UC Berkeley,Johns Hopkins,Sharon Marcus,"The Profession of the Author: Abstraction, Advertising, and Jane Eyre",
1747,22912,Representations,2007,F,UC Berkeley,Johns Hopkins,Suzanne Guerlac,The Useless Image,
2990,23312,Representations,1988,M,UC Berkeley,Johns Hopkins,Eric J. Sundquist,Mark Twain and Homer Plessy,
3044,23412,Representations,1996,M,UC Berkeley,Johns Hopkins,Richard Walker,California's Collision of Race and Class,
3142,23512,Representations,2011,F,UC Berkeley,Johns Hopkins,Suzanne Guerlac,Humanities 2.0,
3217,7842,New Literary History,1975,M,UC Irvine,Johns Hopkins,David Carroll,Freud and the Myth of the Origin,
3244,7852,New Literary History,1992,M,UC Irvine,Johns Hopkins,David Carroll,Literary Fascism or the Aestheticizing of Politics: The Case of Robert Brasillach,
3254,7862,New Literary History,1997,F,UC Irvine,Johns Hopkins,Suzanne Gearhart,"The Taming of Michel Foucault: New Historicism, Psychoanalysis, and the Subversion of Power",
3291,23612,Representations,2014,M,UC Irvine,Johns Hopkins,Michael Szalay,HBO's Flexible Gold,
3320,26410,Critical Inquiry,1981,M,UC San Diego,Johns Hopkins,Roy Harvey Pearce,Whitman Justified: The Poet in 1855,
3356,961,PMLA,1978,M,UC Santa Barbara,Johns Hopkins,Richard Helgerson,The New Poet Presents Himself: Spenser and the Idea of a Literary Career,
3381,960,PMLA,2003,M,UC Santa Barbara,Johns Hopkins,Richard Helgerson,I Miles Philips: An Elizabethan Seaman Conscripted by History,
3362,23712,Representations,1986,M,UC Santa Barbara,Johns Hopkins,Richard Helgerson,"The Land Speaks: Cartography, Chorography, and Subversion in Renaissance England",
3377,23812,Representations,1997,M,UC Santa Barbara,Johns Hopkins,Richard Helgerson,"Soldiers and Enigmatic Girls: The Politics of Dutch Domestic Realism, 1650-1672",
3488,11231,Critical Inquiry,2005,M,UCLA,Johns Hopkins,Mark McGurl,The Program Era,
3471,8413,New Literary History,1999,M,UCLA,Johns Hopkins,Eric Gans,The Last Word in Lyric: Mallarmé's Silent Siren,
3475,8392,New Literary History,2000,M,UCLA,Johns Hopkins,Eric Gans,Staging as an Anthropological Category,
3506,8402,New Literary History,2010,M,UCLA,Johns Hopkins,Mark McGurl,Ordinary Doom: Literary Studies in the Waste Land of the Present,
3520,8422,New Literary History,2014,M,UCLA,Johns Hopkins,Davide Panagia,A Theory of Aspects: Media Participation and Political Theory,
3473,23912,Representations,1999,M,UCLA,Johns Hopkins,Mark McGurl,Social Geometries: Taking Place in Henry James,
1722,11471,Critical Inquiry,2006,M,University of Chicago,Johns Hopkins,W. J. T. Mitchell,Christo's Gates and Gilo's Wall,
1734,11821,Critical Inquiry,2007,M,University of Chicago,Johns Hopkins,W. J. T. Mitchell,Picturing Terror,
1735,11831,Critical Inquiry,2007,M,University of Chicago,Johns Hopkins,W. J. T. Mitchell,Dead Again,
1759,12251,Critical Inquiry,2008,M,University of Chicago,Johns Hopkins,W. J. T. Mitchell,Havana Diary,
1794,12681,Critical Inquiry,2009,M,University of Chicago,Johns Hopkins,W. J. T. Mitchell,"Art, Fate, and the Disciplines",
3649,12100,Critical Inquiry,1974,M,University of Chicago,Johns Hopkins,John M. Wallace,Examples Are Best Precepts: Readers and Meanings in Seventeenth-Century Poetry,
3658,3610,Critical Inquiry,1975,M,University of Chicago,Johns Hopkins,Bruce Morrissette,Post-Modern Generative Fiction: Novel and Film,
3687,22410,Critical Inquiry,1980,M,University of Chicago,Johns Hopkins,W. J. T. Mitchell,Spatial Form in Literature: Toward a General Theory,
3693,26710,Critical Inquiry,1981,M,University of Chicago,Johns Hopkins,W. J. T. Mitchell,Diagrammatology,
3697,30810,Critical Inquiry,1982,M,University of Chicago,Johns Hopkins,W. J. T. Mitchell,Critical Inquiry and the Ideology of Pluralism,
3713,4471,Critical Inquiry,1986,M,University of Chicago,Johns Hopkins,W. J. T. Mitchell,Pluralism as Dogmatism,
3731,5621,Critical Inquiry,1989,M,University of Chicago,Johns Hopkins,W. J. T. Mitchell,Ut Pictura Theoria: Abstract Painting and the Repression of Language,
3736,6011,Critical Inquiry,1990,M,University of Chicago,Johns Hopkins,W. J. T. Mitchell,"The Violence of Public Art: ""Do the Right Thing""""""",
3740,6291,Critical Inquiry,1991,M,University of Chicago,Johns Hopkins,W. J. T. Mitchell,"Seeing ""Do the Right Thing""""""",
3776,9241,Critical Inquiry,2000,M,University of Chicago,Johns Hopkins,W. J. T. Mitchell,"Holy Landscape: Israel, Palestine, and the American Wilderness",
3788,9961,Critical Inquiry,2002,M,University of Chicago,Johns Hopkins,W. J. T. Mitchell,911: Criticism and Crisis,
3791,1022,Critical Inquiry,2003,M,University of Chicago,Johns Hopkins,Oren Izenberg,Language Poetry and Collective Life,
3801,1070,Critical Inquiry,2004,M,University of Chicago,Johns Hopkins,W. J. T. Mitchell,Medium Theory,
3815,11251,Critical Inquiry,2005,M,University of Chicago,Johns Hopkins,W. J. T. Mitchell,Edward Said: Continuing the Conversation,
3816,11261,Critical Inquiry,2005,M,University of Chicago,Johns Hopkins,W. J. T. Mitchell,Secular Divination,
3817,11271,Critical Inquiry,2005,M,University of Chicago,Johns Hopkins,W. J. T. Mitchell,The Ends of Theory,
3863,14251,Critical Inquiry,2012,M,University of Chicago,Johns Hopkins,W. J. T. Mitchell,"Image, Space, Revolution",
3864,14261,Critical Inquiry,2012,M,University of Chicago,Johns Hopkins,W. J. T. Mitchell,Poetic Justice,
3865,14271,Critical Inquiry,2012,M,University of Chicago,Johns Hopkins,W. J. T. Mitchell,Preface to “Occupy: Three Inquiries in Disobedience”,
3866,14281,Critical Inquiry,2012,M,University of Chicago,Johns Hopkins,W. J. T. Mitchell,Report from Morocco,
3876,14901,Critical Inquiry,2014,M,University of Chicago,Johns Hopkins,W. J. T. Mitchell,Comics as Media: Afterword,
3708,9213,New Literary History,1984,M,University of Chicago,Johns Hopkins,W. J. T. Mitchell,What Is an Image?,
3727,9202,New Literary History,1988,M,University of Chicago,Johns Hopkins,W. J. T. Mitchell,Wittgenstein's Imagery and What It Tells Us,
3759,962,PMLA,1996,M,University of Chicago,Johns Hopkins,W. J. T. Mitchell,The Status of Evidence: A Roundtable,
3710,24012,Representations,1984,M,University of Chicago,Johns Hopkins,W. J. T. Mitchell,The Politics of Genre: Space and Time in Lessing's Laocoon,
3887,9621,Critical Inquiry,2001,M,University of Cincinnati,Johns Hopkins,W. J. T. Mitchell,"Romanticism and the Life of Things: Fossils, Totems, and Images",
3906,5291,Critical Inquiry,1988,F,University of Colorado,Johns Hopkins,Robin Sheets,"Pornography and Art: The Case of ""Jenny""""""",
4038,963,PMLA,2013,M,University of Haifa,Johns Hopkins,Amit Yahav,Sonorous Duration: Tristram Shandy and the Temporality of Novels,
4054,964,PMLA,2010,F,University of Hawaii,Johns Hopkins,Kathryn A. Hoffmann,“Vertebrae on Which a Seraph Might Make Music”,
4083,8221,Critical Inquiry,1997,M,"University of Illinois, Chicago",Johns Hopkins,David J. Baker,Ea and Knowing in Hawai'i,
4094,24112,Representations,2006,M,"University of Illinois, Chicago",Johns Hopkins,Mark Canuel,Doing Justice in Aesthetics,
4119,8231,Critical Inquiry,1997,M,"University of Illinois, Urbana",Johns Hopkins,Tim Dean,Two Kinds of Other and Their Consequences,
4289,967,PMLA,1990,M,University of Maryland,Johns Hopkins,Theodore B. Leinwand,Negotiation and New Historicism,
4317,9301,Critical Inquiry,2000,M,"University of Massachusetts, Amherst",Johns Hopkins,Jonathan Auerbach,"Chasing Film Narrative: Repetition, Recursion, and the Body in Early Cinema",
4393,972,PMLA,2004,M,University of Michigan,Johns Hopkins,Tobin Siebers,Words Stare like a Glass Eye: From Literary to Visual to Disability Studies and Back Again,
4460,973,PMLA,2009,M,"University of Minnesota, Twin Cities",Johns Hopkins,Daniel Brewer,"Voltaire, War Correspondent at Large",
4596,11272,New Literary History,2001,M,University of Oklahoma,Johns Hopkins,Ronald Schleifer,"The Poetics of Tourette Syndrome: Language, Neurobiology, and Poetry",
4679,977,PMLA,1975,M,University of Pennsylvania,Johns Hopkins,Clifton Cherpack,Paul et Virginie and the Myths of Death,
4805,11882,New Literary History,2011,M,University of Rochester,Johns Hopkins,John Michael,Transnational American Studies,
4830,24212,Representations,2009,M,University of South Florida,Johns Hopkins,Michael Clune,Orwell and the Obvious,
4835,980,PMLA,1987,M,University of Southern California,Johns Hopkins,Jackson I. Cope,Bernini and Roman Commedie Ridicolose,
1665,9811,Critical Inquiry,2002,F,University of Sussex,Johns Hopkins,J. M. Mancini,Discovering Viking America,
4910,981,PMLA,1979,M,"University of Texas, Austin",Johns Hopkins,Evan Carton,Complicity and Responsibility in Pandarus' Bed and Chaucer's Art,
4955,4201,Critical Inquiry,1985,F,University of Toledo,Johns Hopkins,Jane Marcus,Quentin's Bogey,
5035,982,PMLA,2007,M,University of Utah,Johns Hopkins,Andrew Franta,Godwin's Handshake,
5096,24312,Representations,1991,F,University of Virginia,Johns Hopkins,Katharine Eisaman Maus,Proof and Consequences: Inwardness and its Exposure in the English Renaissance,
5227,8321,Critical Inquiry,1997,M,University of Washington,Johns Hopkins,Ross Posnock,"How It Feels to Be a Problem: Du Bois, Fanon, and the ""Impossible Life"""" of the Black Intellectual""",
5289,24412,Representations,1995,F,"University of Wisconsin, Madison",Johns Hopkins,Anne C. Vila,Sex and Sensibility: Pierre Roussel's Système physique et moral de la femme,
5363,24512,Representations,2005,M,Vanderbilt,Johns Hopkins,Deak Nabers,The Problem of Revolution in the Age of Slavery,
5423,14122,New Literary History,1988,M,Wellesley College,Johns Hopkins,William E. Cain,Notes toward a History of Anti-Criticism,
5439,15910,Critical Inquiry,1978,M,Wesleyan University,Johns Hopkins,Arthur F. Marotti,"Countertransference, the Communication Process, and the Dimensions of Psychoanalytic Criticism",
5557,3901,Critical Inquiry,1984,M,Yale,Johns Hopkins,David Marshall,Adam Smith and the Theatricality of Moral Sentiments,
5562,14402,New Literary History,1985,F,Yale,Johns Hopkins,Suzanne Guerlac,Longinus and the Subject of the Sublime,
5568,986,PMLA,1986,F,Yale,Johns Hopkins,Amy Kaplan,The Knowledge of the Line: Realism and the City in Howells's A Hazard of New Fortunes,
5583,985,PMLA,1992,F,Yale,Johns Hopkins,Elaine Hadley,Women's Speech and Silence in Hartmann von Aue's Erec,
5570,24612,Representations,1986,M,Yale,Johns Hopkins,David Marshall,Rousseau and the State of Theater,
5190,13532,New Literary History,1982,M,University of Warwick,Keele University,Claude Rawson,Splendors and Miseries of Textual Intercourse,
1940,987,PMLA,1988,M,Northern Illinois University,Kent State University,Franklin E. Court,The Social and Historical Significance of the First English Literature Professorship in England,
5016,988,PMLA,1983,F,University of Tulsa,Kent State University,Shari Benstock,At the Margin of Discourse: Footnotes in the Fictional Text,
812,20411,New Literary History,2015,F,Duke,King's College London,Sarah Beckwith,"Are There any Women in Shakespeare’s Plays?: Fiction, Representation, and Reality in Feminist Criticism",
4231,10421,New Literary History,1974,M,University of London,King's College London,Jerzy Peterkiewicz,Cast in Glass and Shadow,
1813,989,PMLA,2011,F,Cornell,Lancaster University,Anindita Banerjee,Liberation Theosophy: Discovering India and Orienting Russia between Velimir Khlebnikov and Helena Blavatsky,
4488,10952,New Literary History,1998,M,University of Munich,Lancaster University,Willie van Peer,Truth Matters: A Critical Exercise in Revisionism,
4952,12291,New Literary History,1987,M,University of Tilburg,Lancaster University,Willie Van Peer,Top-Down and Bottom-Up: Interpretative Strategies in Reading E. E. Cummings,
4034,990,PMLA,1971,M,University of Groningen,Leiden University,D. R. M. Wilkinson,"Carlyle, Arnold, and Literary Justice",
5350,14002,New Literary History,1973,M,Utrecht University,Leiden University,D. W. Fokkema,The Forms and Values of Contemporary Chinese Literature,
9,23101,New Literary History,1976,M,Akademie der Wissenschaft der DDR,Leipzig University,Manfred Naumann,Literary Production and Reception,
1239,3322,New Literary History,1973,M,Humboldt-Universität Berlin,Leipzig University,Wilhelm Girnus,On the Problem of Ideology and Literature,
3537,24712,Representations,1986,M,Université de Tours,Limoges,Alain Corbin,Commercial Sexuality in Nineteenth-Century France: A System of Images and Regulations,
57,24812,Representations,2011,F,Aston University,London School of Economics,Sarah Amsler,Beyond All Reason,
409,9051,Critical Inquiry,2000,M,Columbia,London School of Economics,Michael Taussig,The Beach (A Fantasy),
