id,label,author,lastname,firstname,year,year_adj,decade_birth,decade_adj,generation,gender,ethnicity,nationality,movement,movement2,poets.org,movement_note,lion.movement.1,lion.movement.2,lion.movement.3,lion.period.1,lion.period.2,lion.period.3,poets.org.1,poets.org.2,poets.org.3,poetryfoundation
168,Harford,HarfordLesbia,Harford,Lesbia,1891,1926,1890,1920,,F,,Australian/Oceanian,Inter-War,,,,,,,Postwar,,,,,,
169,Harper,HarperMichaelS,Harper,MichaelS,1938,1973,,1970,1950_1980,M,African-American,American,AmericanConfessional,,,,,,,,,,,,,
170,Harrison,HarrisDick,Harris,Dick,1887,1922,1880,1920,,M,,NewZealander/Oceanian,Inter-War,Edwardian,,,,,,AmericanConfessional,Postwar,,,,,
171,Harrison2,HarrisonTony,Harrison,Jim,1937,1972,,1970,1950_1980,M,,American,Postwar,,,,,,,,,,,,,
172,Harsent,HarsentDavid,Harsent,David,1942,1977,,1970,1950_1980,M,,British/English,Postwar,,,,,,,,,,,,,
173,Hartnett,HartnettMichael,Hartnett,Michael,1941,1976,,1970,1950_1980,M,,Irish,Postwar,,,,,,,Postwar,,,,,,
174,Haslam,HaslamMichael,Haslam,Michael,1947,1982,1940,1980,,M,,British/English/European,Postwar,,,,,,,Postwar,,,,,,
175,Hayden,HaydenRobert,Hayden,Robert,1913,1948,,1940,1920_1950,M,African-American,American,AmericanConformity,,,,,,,,,,,,,
176,Henry,HenryMichael,Henry,Michael,1942,1977,1940,1970,,M,,British/English/European,Postwar,,,*not 20C,,,,AmericanRealistic,,,,,,
177,Hensley,HensleySophiaMargaretta,Hensley,SophiaMargaretta,1866,1901,1860,1900,,F,,Canadian/NorthAmerican,CanadianConfederation,,,,,,,,,,,,,
178,Herbert,HerbertWN,Herbert,WN,1961,1996,,1990,1980_2010,M,,British/Scottish/European,Postwar,,,,,,,,,,*very much a 19th century poet, not 20th,,
179,Hill,HillSelima,Hill,Selima,1945,1980,,1980,1980_2010,F,,British/European,Postwar,,,,,,,Postwar,,,,,,
180,Hill2,HillTobias,Hill,Tobias,1970,2005,,2000,1980_2010,M,,British/English,Postwar,,,,,,,Postwar,,,,,,
181,Hinsey,HinseyEllen,Hinsey,Ellen,1960,1995,,1990,1980_2010,F,,American,AmericanConfessional,,,,,,,Postwar,,,,,,
182,Hodgson,HodgsonRalph,Hodgson,Ralph,1871,1906,,1900,1890_1920,M,,British/English,Edwardian,,,,,,,AmericanConfessional,Postwar,,,,,
183,Hoffman,HoffmanDaniel,Hoffman,Daniel,1923,1958,,1950,1950_1980,M,,American,AmericanConfessional,,,,Georgian,,,Edwardian,Inter-War,Modernist,,,,
184,Holub,HolubMiroslav,Holub,Miroslav,1923,1958,,1950,1950_1980,M,,Czech/European,Postwar,,,,,,,AmericanConfessional,Postwar,,,,,
185,Hooker,HookerJeremy,Hooker,Jeremy,1941,1976,1940,1970,,M,,British/English/European,Postwar,,,,,,,Postwar,,,,,,
186,Hopper,HopperNora,Hopper,Nora,1871,1906,1870,1900,,F,,British/English/European,CelticRevival,Victorian,,,,,,,,,,,,
187,Horan,HoranRobert,Horan,Robert,1922,1957,,1950,1950_1980,M,,American,AmericanConformity,,,,,,,,,,,,,
188,Howard,HowardRichard,Howard,Richard,1929,1964,,1960,1950_1980,M,,American,Lesbian/Gay,,,,Lesbian/Gay,,,Inter-War,LateVictorian,Modernist,,,,
189,Howe,HoweMarie,Howe,Marie,1950,1985,,1980,1980_2010,F,,American,AmericanConfessional,,,,Lesbian/Gay,,,AmericanConfessional,Postwar,,,,,
190,Howe,HoweSusan,Howe,Susan,1937,1972,1930,1970,,F,,American/NorthAmerican,AmericanConfessional,Postwar,,,,,,AmericanConfessional,Postwar,,,,,
191,Hubbell,HubbellLindleyWilliams,Hubbell,LindleyWilliams,1901,1936,,1930,1920_1950,M,,American,AmericanConformity,,,,,,,,,,,,,
192,Hughes,HughesDorothyBDorothyBelle,Hughes,DorothyBDorothyBelle,1904,1939,1900,1930,,F,,American/NorthAmerican,AmericanConformity,Modernism,,,,,,AmericanConfessional,AmericanConformityandCriticism,Modernist,,,,
193,Hughes2,HughesLangston,Hughes,Langston,1902,1937,,1930,1920_1950,M,African-American,American,HarlemRenaissance,Lesbian/Gay,HarlemRenaissance,,,,,,,,,,,
194,Hughes3,HughesTed,Hughes,Ted,1930,1965,1930,1960,,M,,British/English/European,Postwar,,,,HarlemRenaissance,Lesbian/Gay,Modernism,AmericanConformityandCriticism,AmericanNaturalisticandSymbolistic,Modernist,,,,
195,Hugo,HugoRichard,Hugo,Richard,1923,1958,,1950,1950_1980,M,,American,AmericanConfessional,,,,,,,,,,,,,
196,Huws,HuwsDaniel,Huws,Daniel,1932,1967,1930,1960,,M,,British/English/European,Postwar,,,,,,,AmericanConfessional,Postwar,,,,,
197,Ignatow,IgnatowDavid,Ignatow,David,1914,1949,,1940,1920_1950,M,Jewish,American,AmericanConfessional,,Confessional,,,,,,,,,,,
198,Iverem,IveremEsther,Iverem,Esther,1960,1995,,1990,1980_2010,F,African-American,American,AmericanConfessional,,,,,,,AmericanConfessional,AmericanConformityandCriticism,Postwar,,,,
199,Jackson,JacksonAngela,Jackson,Angela,1951,1986,,1980,1980_2010,F,African-American,American,AmericanConfessional,,,,,,,AmericanConfessional,Postwar,,,,,
200,Jacob,JacobMax,Jacob,Max,1876,1911,1870,1910,,M,Jewish,French/European,Modernism,,,,,,,AmericanConfessional,Postwar,,,,,
201,Jacox,JacoxKyleChristiane,Jacox,KyleChristiane,1950,1985,,1980,1980_2010,F,,American,AmericanConfessional,,,,,,,,,,,,,
202,Jamie,JamieKathleen,Jamie,Kathleen,1962,1997,,1990,1980_2010,F,,British/English,Postwar,,,,,,,AmericanConfessional,Postwar,,,,,
203,Jeffers,JeffersRobinson,Jeffers,Robinson,1887,1922,,1920,1920_1950,M,,American,AmericanConformity,,,,,,,Postwar,,,,,,
204,Johnson,JohnsonAdam,Johnson,Adam,1965,2000,1960,2000,,M,,British/English/European,Postwar,,,,,,,AmericanConformityandCriticism,Modernist,,,,,
205,Johnson2,JohnsonLionelPigot,Johnson,LionelPigot,1867,1902,1860,1900,,M,,British/English/European,Decadent,Aesthetic,,,HarlemRenaissance,,,AmericanNaturalisticandSymbolistic,Modernist,,,,,
206,Johnson3,JohnsonRonald,Johnson,Ronald,1935,1970,,1970,1950_1980,M,,American,Concrete,,,,,,,,,,,,,
207,Jones,JonesDavidMichael,Jones,DavidMichael,1895,1930,1890,1930,,M,,British/Welsh/European,FirstWorldWarPoets,Modernism,,,Concrete,,,AmericanConfessional,Postwar,,,,,
208,Jones2,JonesGlyn,Jones,Glyn,1905,1940,,1940,1920_1950,M,,British/Welsh/European,Modernism,,,,,,,,,,,,,
209,Jones3,JonesPatriciaSpears,Jones,PatriciaSpears,1955,1990,1950,1990,,F,African-American,American/NorthAmerican,AmericanConfessional,Postwar,,,,,,Postwar,,,,,,
210,Jordan,JordanJune,Jordan,June,1936,1971,,1970,1950_1980,F,African-American,American,AmericanConfessional,,,,,,,,,,,,,
211,Joseph,JosephAllison,Joseph,Allison,1967,2002,1960,2000,,F,African-American,American/NorthAmerican,AmericanConfessional,Postwar,,,,,,AmericanConfessional,Postwar,,,,,
212,Joseph2,JosephJenny,Joseph,Jenny,1932,1967,,1960,1950_1980,F,,British/English,Postwar,,,,,,,,,,,,,
213,Joseph3,JosephLawrence,Joseph,Lawrence,1948,1983,,1980,1980_2010,M,Asian-American,American/Lebanese/MiddleEastern,AmericanConfessional,,,,,,,Postwar,,,,,,
214,Joyce,JoyceJames,Joyce,James,1882,1917,1880,1910,,M,,Irish/European,CelticRevival,Imagism,,,,,,AmericanConfessional,Postwar,,,,,
215,Kasdorf,KasdorfJulia,Kasdorf,Julia,1962,1997,,1990,1980_2010,F,,American,AmericanConfessional,,,,,,,,,,,,,
216,Kavanagh,KavanaghPJPatrickJoseph,Kavanagh,PJPatrickJoseph,1931,1966,1930,1960,,M,,irish/European,TwentiethCentury,,,,,,,AmericanConfessional,Postwar,,,,,
217,Kay,KayJackie,Kay,Jackie,1961,1996,,1990,1980_2010,F,,British/Scottish/European,Lesbian/Gay,,,,,,,,,,,,,
218,Keene,KeeneDennis,Keene,Dennis,1934,1969,1930,1960,,M,,British/English/European,Postwar,,,,Lesbian/Gay,,,Postwar,,,,,,
219,Keery,KeeryJames,Keery,James,1958,1993,1950,1990,,M,,Irish/NorthernIrish/European,Postwar,,,,,,,,,,,,,
220,Kelly,KellyBrigitPegeen,Kelly,BrigitPeegen,1951,1986,1950,1980,,F,,American/NorthAmerican,AmericanConfessional,,,,,,,AmericanConformityandCriticism,,,,,,
221,Kelly2,KellyRobert,Kelly,Robert,1935,1970,,1970,1950_1980,M,,American,DeepImage,BlackMountainSchool,,,,,,,,,,,,
222,Kettle,KettleTom,Kettle,Tom,1880,1915,1880,1910,,M,,Irish/European,Modernism,,,,BlackMountainSchool,DeepImage,,AmericanConfessional,Postwar,,,,,
223,Khalvati,KhalvatiMimi,Khalvati,Mimi,1944,1979,,1970,1950_1980,F,,British/Iranian/European/MiddleEastern,Feminism,,,,,,,,,,,,,
224,Khlebnikov,KhlebnikovVelimir,Khlebnikov,Velimir,1885,1920,1880,1920,,M,,Russian/European,Modernism,,,,Feminist,,,Postwar,,,,,,
225,Kilmer,KilmerJoyce,Kilmer,Joyce,1886,1921,,1920,1920_1950,M,,American,Symbolism,,,,,,,,,,,,,
226,Kinnell,KinnellGalway,Kinnell,Galway,1927,1962,,1960,1950_1980,M,,American,DeepImage,,,,,,,AmericanNaturalisticandSymbolistic,Modernist,,,,,
227,Kinsella,KinsellaJohn,Kinsella,John,1963,1998,,1990,1980_2010,M,,Australian/Oceanian,Postwar,,,,DeepImage,,,AmericanConfessional,Postwar,,,,,
228,Kociejowski,KociejowskiMarius,Kociejowski,Marius,1949,1984,1940,1980,,M,,Canadian/NorthAmerican,CanadianContemporary,,,,Postcolonialism,,,Edwardian,LateVictorian,Modernist,,,,
229,Kumin,KuminMaxine,Kumin,Maxine,1925,1960,,1960,1950_1980,F,Jewish,American,AmericanConfessional,,Ethnopoetic,,,,,,,,,,,
230,Kunitz,KunitzStanley,Kunitz,Stanley,1905,1940,,1940,1920_1950,M,,American,AmericanConformity,,,,,,,AmericanConfessional,Postwar,,,,,
231,Kuppner,KuppnerFrank,Kuppner,Frank,1951,1986,1950,1980,,M,,British/Scottish/European,Postwar,,,,,,,AmericanConfessional,AmericanConformityandCriticism,Postwar,,,,
232,Laird,LairdNick,Laird,Nick,1975,2010,1970,2010,,M,,British/NorthernIrish/European,Twenty-FirstCentury,,,,Symbolism,,,,,,,,,
233,Lally,LallyMichael,Lally,Michael,1942,1977,,1970,1950_1980,M,,American,AmericanConfessional,,,,,,,,,,,,,
234,Lamantia,LamantiaPhilip,Lamantia,Philip,1927,1962,,1960,1950_1980,M,Italian-American,American,Beat,,,,,,,AmericanConfessional,Postwar,,*he is both a 19th century and he only wrote in French. One of the biggest inspirations for T.S. Eliot's early poems. ,,,
235,Laughlin,LaughlinJames,Laughlin,James,1914,1949,,1940,1920_1950,M,,American,Modernism,,,,Beat,,,AmericanConfessional,AmericanConformityandCriticism,Postwar,,,,
236,Lawrence,LawrenceDHDavidHerbert,Lawrence,DH,1885,1920,,1920,1920_1950,M,,British/English,Modernism,,,,,,,AmericanConformityandCriticism,Modernist,Postwar,,,,
237,Lawson,LawsonHenry,Lawson,Henry,1867,1902,1860,1900,,M,,Australian/Oceanian,Edwardian,Victorian,,*hard to decide, he was a Georgian poet and technically an Edwardian,Lesbian/Gay,Modernism,,Edwardian,Inter-War,,,,
238,Ledwidge,LedwidgeFrancis,Ledwidge,Francis,1887,1922,1880,1920,,M,,Irish/European,CelticRevival,Modernism,,,,,,,,,,,,
239,Lehmann,LehmannGeoffrey,Lehmann,Geoffrey,1940,1975,1940,1970,,M,,Australian/Oceanian,NewAustralianPoetry,Postwar,,,,,,,,,Modernist,,,
240,Levertov,LevertovDenise,Levertov,Denise,1923,1958,,1950,1950_1980,F,,American/British/English/European/NorthAmerican,BlackMountainSchool,Feminism,BlackMountain,,,,,,,,,,,
241,Levine,LevinePhilip,Levine,Philip,1928,1963,,1960,1950_1980,M,Jewish,American,AmericanConfessional,,,,BlackMountainSchool,FeministWriters,,AmericanConfessional,AmericanConformityandCriticism,Postwar,,,,
242,Lindsay,LindsayVachel,Lindsay,Vachel,1879,1914,1870,1910,,M,,American/NorthAmerican,ChicagoRenaissance,AmericanNaturalisticSymbolistic,,,DawnandDuskClub,,,Inter-War,Modernist,,,,,
243,Lodge,LodgeGeorgeCabot,Lodge,GeorgeCabot,1873,1908,,1900,1890_1920,M,,American,Symbolism,,,,,,,,,,,,,
244,Loftis,LoftisNorman,Loftis,Norman,1943,1978,1940,1970,,M,African-American,American/NorthAmerican,AmericanConfessional,,,,,,,AmericanNaturalisticandSymbolistic,AmericanRealistic,Modernist,,,,
245,Logue,LogueChristopher,Logue,Christopher,1926,1961,1920,1960,,M,,British/English/European,Postwar,,,,,,,,,,,,,
246,Lynch,LynchThomas,Lynch,Thomas,1948,1983,,1980,1980_2010,M,,American,AmericanConfessional,,,,,,,AmericanConformityandCriticism,AmericanNaturalisticandSymbolistic,Modernist,,,,
247,MacDermot,MacDermotThomasHenry,MacDermot,ThomasHenry,1870,1905,1870,1900,,M,,Jamaican/WestIndian/Caribbean,Modernism,,,,,,,AmericanConfessional,Postwar,,,,,
248,MacDiarmid,MacDiarmidHugh,MacDiarmid,Hugh,1892,1927,1890,1920,,M,,British/Scottish/European,Modernism,Inter-War,,,,,,,,,,,,
249,MacDonagh,MacDonaghThomas,MacDonagh,Thomas,1878,1913,1870,1910,,M,,Irish/European,Edwardian,Modernism,,,,,,,,,,,,
250,Machado,MachadoAntonio,Machado,Antonio,1875,1910,1870,1910,,M,,Spanish/European,Symbolism,Modernism,,,,,,,,,,,,
251,Mackay,MackayIsabelEcclestone,Mackay,IsabelEcclestone,1875,1910,1870,1910,,F,,Canadian/NorthAmerican,CanadianConfederation,,,,,,,,,,,,,
252,Mackey,MackeyNathaniel,Mackey,Nathaniel,1947,1982,,1980,1980_2010,M,African-American,American,Postwar,,,,,,,,,,,,,
253,MacLeish,MacLeishArchibald,MacLeish,Archibald,1892,1927,,1920,1920_1950,M,,American,Modernism,,,,,,,Postwar,,,,,,
254,MacNeice,MacNeiceLouis,MacNeice,Louis,1907,1942,,1940,1920_1950,M,,British/English,Modernism,,,,LostGeneration,,,AmericanConformityandCriticism,AmericanNaturalisticandSymbolistic,Modernist,,,,
255,Madge,MadgeCharles,Madge,Charles,1912,1947,,1940,1920_1950,M,,British/English,Surrealism,,,,Writersofthe1930s,,,Inter-War,Modernist,Postwar,,,,
256,Madhubuti,MadhubutiHakiR,Madhubuti,HakiR,1942,1977,,1970,1950_1980,M,African-American,American,BlackArts,,BlackArts,,Surrealism,,,Inter-War,Modernist,Postwar,,,,
257,Mahon,MahonDerek,Mahon,Derek,1941,1976,,1970,1950_1980,M,,British/Irish/NorthernIrish/European,Postwar,,,,,,,AmericanConfessional,Postwar,,,,,
258,Mairs,MairsNancy,Mairs,Nancy,1943,1978,,1970,1950_1980,F,,American,AmericanConfessional,,,,,,,Postwar,,,,,,
259,Mansfield,MansfieldKatherine,Mansfield,Katherine,1888,1923,1880,1920,,F,,NewZealander/Oceanian,Postcolonialism,Modernism,,,,,,AmericanConfessional,Postwar,,,,,
260,Marshall,MarshallJack,Marshall,Jack,1936,1971,,1970,1950_1980,M,,American,AmericanConfessional,,,,,,,,,,,,,
261,Martinez,MartnezDionisioD,Martinez,?,1956,1991,,1990,1980_2010,,,,Postwar,,,,,,,AmericanConfessional,Postwar,,,,,
262,Masefield,MasefieldJohn,Masefield,John,1878,1913,,1910,1890_1920,M,,British/English,Modernism,,,,,,,,,,,,,
263,Mason,MasonFrancisClaiborne,Mason,FrancesClaiborne,1900,1935,,1930,1920_1950,M,,American,Symbolism,,,,Georgian,,,Edwardian,Inter-War,Modernist,,,,
264,Maxwell,MaxwellGlyn,Maxwell,Glyn,1962,1997,,1990,1980_2010,M,,British/English,Postwar,,,,,,,AmericanNaturalisticandSymbolistic,Modernist,,,,,
265,Mayakovsky,MayakovskyVladimir,Mayakovsky,Vladimir,1893,1928,1890,1920,,M,,Georgian/Russian/European/MiddleEastern,Modernism,,,,,,,Postwar,,,,,,
266,McClane,McClaneKennethA,McClane,KennethA,1951,1986,,1980,1980_2010,M,African-American,American,AmericanConfessional,,,,,,,,,,,,,
267,McCombs,McCombsDavis,McCombs,Davis,1969,2004,,2000,1980_2010,M,,American,AmericanConfessional,,,*Provided we're not doing realism,,,,AmericanNaturalisticandSymbolistic,AmericanRealistic,Modernist,,,,
268,McCrae,McCraeJohn,McCrae,John,1872,1907,1870,1900,,M,,Canadian/NorthAmerican,FirstWorldWarPoets,CanadianConfederation,,,,,,AmericanConfessional,,,,,,
269,McGrath,McGrathThomas,McGrath,Thomas,1916,1951,,1950,1950_1980,M,,American,AmericanConformity,,,,,,,,,,,,,
270,McGuckian,McGuckianMedbh,McGuckian,Medbh,1950,1985,,1980,1980_2010,F,,Irish/NorthernIrish/European,Postwar,,,,,,,AmericanConfessional,AmericanConformityandCriticism,Postwar,,,,
271,McKendrick,McKendrickJamie,McKendrick,Jamie,1955,1990,,1990,1980_2010,M,,British/English,Postwar,,,*OrHarlemRenaissance as a first,HarlemRenaissance,Lesbian/Gay,LostGeneration,AmericanConformityandCriticism,AmericanNaturalisticandSymbolistic,Modernist,,,,
272,McMillan,McMillanIan,McMillan,Ian,1956,1991,,1990,1980_2010,M,,British/English,Postwar,,,,,,,Postwar,,,,,,
273,Merriam,MerriamEve,Merriam,Eve,1916,1951,,1950,1950_1980,F,,American,AmericanConformity,,,,,,,Postwar,,,,,,
274,Merton,MertonThomas,Merton,Thomas,1915,1950,,1950,1950_1980,M,,American,AmericanConformity,,,,,,,AmericanConfessional,AmericanConformityandCriticism,Postwar,,,,
275,Mew,MewCharlotteMary,Mew,CharlotteMary,1869,1904,1860,1900,,F,,British/English/European,Lesbian/Gay,,,,,,,AmericanConfessional,AmericanConformityandCriticism,Postwar,,,,
276,Meyer,MeyerThomas,Meyer,Thomas,1947,1982,1940,1980,,M,,American/NorthAmerican,AmericanConfessional,,,,,,,,,,,,,
277,Middleton,MiddletonChristopher,Middleton,Christopher,1926,1961,1920,1960,,M,,British/English/European,Postwar,,,,,,,,,,,,,
278,Millay,MillayEdnaStVincent,Millay,EdnaStVincent,1892,1927,,1920,1920_1950,F,,American,Lesbian/Gay,,,,,,,AmericanConfessional,AmericanConformityandCriticism,Postwar,,,,
279,Minhinnick,MinhinnickRobert,Minhinnick,Robert,1952,1987,,1980,1980_2010,M,,British/Welsh,Postwar,,,,Feminist,Lesbian/Gay,,AmericanConformityandCriticism,AmericanNaturalisticandSymbolistic,Modernist,,,,
280,Mitchell,MitchellAdrian,Mitchell,Adrian,1932,1967,,1960,1950_1980,M,,British/English/European,Postwar,,,,,,,Postwar,,,,,,
281,Mitchell2,MitchellKaren,Mitchell,Karen,1955,1990,,1990,1980_2010,F,African-American,American,Postwar,,,,,,,,,,,,,
282,Mitchell3,MitchellSusanLSusanLangstaff,Mitchell,SusanLSusanLangstaff,1866,1901,1860,1900,,F,,Irish/European,CelticRevival,Modernism,,,AestheticMovement,,,AmericanConfessional,Postwar,,,,,
283,Montale,MontaleEugenio,Montale,Eugenio,1896,1931,1890,1930,,M,,Italian/European,Inter-War,,,,,,,,,,,,,
284,Moody,MoodyWilliamVaughn,Moody,WilliamVaughn,1869,1904,,1900,1890_1920,M,,American,Symbolism,,,,,,,,,,,,,
285,Moore,MooreNicholas,Moore,Nicholas,1918,1953,,1950,1950_1980,M,,British/English,NewApocalypse,,,,,,,AmericanNaturalisticandSymbolistic,Modernist,,,,,
286,Moore2,MooreRosalie,Moore,Rosalie,1910,1945,,1940,1920_1950,F,,American,AmericanConformity,,,,NewApocalypse,,,Postwar,,,,,,
287,Moore3,MooreTSturgeThomasSturge,Moore,ThomasSturge,1870,1905,,1900,1890_1920,M,,British/English,Modernism,,,,,,,AmericanConformityandCriticism,Postwar,,,,,
288,Morgan,MorganEdwin,Morgan,Edwin,1920,1955,,1950,1950_1980,M,,British/Scottish/European,Postwar,,,,Georgian,Modernism,,Edwardian,Inter-War,Modernist,,,,
289,Morgan2,MorganRobert,Morgan,Robert,1944,1979,,1970,1950_1980,M,,American,AmericanConfessional,,,*Wearen'tkeepingConcreteasacategory,arewe?,Concrete,,,Postwar,,,,,
290,Morrissey,MorrisseySinead,Morrissey,Sinead,1972,2007,1970,2000,,F,,Irish/NorthernIrish/European,Postwar,,,,,,,AmericanConfessional,Postwar,,,,,
291,Morton,MortonFrank,Morton,Frank,1869,1904,1860,1900,,M,,Australian/British/English/NewZealander/Oceanian/European,Modernism,,,,,,,,,,,,,
292,Moss,MossHoward,Moss,Howard,1922,1957,,1950,1950_1980,M,,American,AmericanConfessional,,,,,,,,,,,,,
293,Motion,MotionAndrew,Motion,Andrew,1952,1987,1950,1980,,M,,British/English/European,Postwar,,,,,,,AmericanConfessional,Postwar,,,,,
294,Muir,MuirEdwin,Muir,Edwin,1887,1922,1880,1920,,M,,British/Scottish/European,Inter-War,Modernism,,,,,,,,,,,,
295,Nathan,NathanLeonard,Nathan,Leonard,1924,1959,,1950,1950_1980,M,,American/NorthAmerican,AmericanConfessional,,,,,,,AmericanConfessional,Postwar,,,,,
296,Neilson,NeilsonJohnShaw,Neilson,JohnShaw,1872,1907,1870,1900,,M,,Australian/Oceanian,Inter-War,Modernism,,,,,,,,,,,,
297,Neruda,NerudaPablo,Neruda,Pablo,1904,1939,1900,1930,,M,,Chilean/LatinAmerican,Postwar,,,,,,,,,,,,,
298,Nicholson,NicholsonNorman,Nicholson,Norman,1914,1949,,1940,1920_1950,M,,British/English/European,Postwar,,,,,,,,,,,,,
299,NiChuilleanain,NiChuilleanainEilean,NiChuilleanain,Eilean,1942,1977,1940,1970,,F,,Irish/European,Postwar,,,,,,,AmericanConfessional,Postwar,,,,,
300,Norris,NorrisKathleen,Norris,Kathleen,1947,1982,,1980,1980_2010,F,,American/NorthAmerican,AmericanConfessional,,,,,,,,Postwar,,,,,
301,Notley,NotleyAlice,Notley,Alice,1945,1980,1940,1980,,F,,American/NorthAmerican,Feminism,AmericanConfessional,,,,,,AmericanConfessional,Postwar,,,,,
302,O'Brien,OBrienSean,O'Brien,Sean,1952,1987,,1980,1980_2010,M,,British/English/European,Postwar,,,,,,,,,,,,,
303,Olson,OlsonCharles,Olson,Charles,1910,1945,,1940,1920_1950,M,,American/NorthAmerican,BlackMountainSchool,,BlackMountain,,,,,Postwar,,,,,,
304,Olson2,OlsonTed,Olson,Ted,1899,1934,,1930,1920_1950,M,,American/NorthAmerican,AmericanConformity,,,,BlackMountainSchool,,,AmericanConfessional,AmericanConformityandCriticism,Postwar,,,,
305,Orsman,OrsmanChris,Orsman,Chris,1955,1990,1950,1990,,M,,NewZealander/Oceanian,Postwar,,,,,,,AmericanConformityandCriticism,Modernist,,,,,
306,Oswald,OswaldAlice,Oswald,Alice,1966,2001,1960,2000,,F,,British/English/European,Postwar,,,,,,,,,,,,,
307,Owen,OwenLouise,Owen,Louise,1901,1936,,1930,1920_1950,F,,American/NorthAmerican,Symbolism,,,,,,,,,,,,,
308,Owen2,OwenWilfred,Owen,Wilfred,1893,1928,,1920,1920_1950,M,,British/English/European,Lesbian/Gay,FirstWorldWar,FirstWorldWar,,,,,AmericanNaturalisticandSymbolistic,Modernist,,,,,
309,Palmer,PalmerMichael,Palmer,Michael,1943,1978,1940,1970,,M,,American/NorthAmerican,AmericanConfessional,,,,FirstWarWarPoets,Lesbian/Gay,,Modernist,,,,,,
310,Pape,PapeGreg,Pape,Greg,1947,1982,,1980,1980_2010,M,,American/NorthAmerican,AmericanConfessional,,,,,,,,,,,,,
311,Pastan,PastanLinda,Pastan,Linda,1932,1967,,1960,1950_1980,F,,American/NorthAmerican,AmericanConfessional,,,,,,,AmericanConfessional,Postwar,,,,,
312,Patchen,PatchenKenneth,Patchen,Kenneth,1911,1946,,1940,1920_1950,M,,American/NorthAmerican,AmericanConformity,,,,,,,AmericanConfessional,Postwar,,,,,
313,Paterson,PatersonDon,Paterson,Don,1963,1998,1960,1990,,M,,British/Scottish/European,Postwar,,,,,,,AmericanConfessional,AmericanConformityandCriticism,Postwar,,,,
314,Patten,PattenBrian,Patten,Brian,1946,1981,,1980,1980_2010,M,,Liverpool,Postwar,,,,,,,,,,,,,
315,Peacock,PeacockMolly,Peacock,Molly,1947,1982,,1980,1980_2010,F,,American/NorthAmerican,AmericanConfessional,,,*TheNationalityisLiverpool?,,,,Postwar,,,,,,
316,Peck,PeckJohn,Peck,John,1941,1976,,1970,1950_1980,M,,American/NorthAmerican,AmericanConfessional,,,,,,,AmericanConfessional,Postwar,,,,,
317,Peirce,PeirceKathleen,Peirce,Kathleen,1956,1991,,1990,1980_2010,F,,American/NorthAmerican,AmericanConfessional,,,,,,,AmericanConfessional,Postwar,,,,,
318,Pessoa,PessoaFernando,Pessoa,Fernando,1888,1923,1880,1920,,M,,Portuguese/European,Modernism,Inter-War,,,,,,AmericanConfessional,Postwar,,,,,
319,Petit,PetitPascale,Petit,Pascale,1953,1988,,1980,1980_2010,F,,British/French/European,Postwar,,,,,,,,,,,,,
320,Phillips,PhillipsStephen,Phillips,Stephen,1868,1903,1860,1900,,M,,British/European,Edwardian,Victorian,,,,,,Postwar,,,,,,
321,Pierpoint,PierpointKatherine,Pierpoint,Katherine,1961,1996,1960,1990,,F,,British/English/European,Postwar,,,,,,,,,,,,,
322,Pitter,PitterRuth,Pitter,Ruth,1897,1932,1890,1930,,F,,British/English/European,Postwar,Inter-War,,,,,,,,,,,,
323,Plumpp,PlumppSterling,Plumpp,Sterling,1940,1975,,1970,1950_1980,M,African-American,American/NorthAmerican,AmericanConfessional,,,,,,,,,,,,,
324,Plunkett,PlunkettJosephMary,Plunkett,JosephMary,1887,1922,1880,1920,,M,,Irish/European,CelticRevival,,,,,,,AmericanConfessional,Postwar,,,,,
325,Plutzik,PlutzikHyam,Plutzik,Hyam,1911,1946,,1940,1920_1950,M,Jewish/Jewish-American,American/NorthAmerican,AmericanConformity,,,,,,,,,,,,,
326,Politovskii,PolitovskiiEvgeniiSigizmundovich,Politovskii,EvgeniiSigizmundovich,1874,1909,1870,1900,,M,,Russian/European,Modernism,,,,,,,AmericanConformityandCriticism,Postwar,,,,,
327,Pound,PoundEzra,Pound,Ezra,1885,1920,,1920,1920_1950,M,,American/NorthAmerican,Modernism,,,,,,,,,,,,,
328,Powell,PowellNeil,Powell,Neil,1948,1983,,1980,1980_2010,M,,British/English/European,Postwar,,,*REVISIT,Imagism,Modernism,Objectivism,AmericanConfessional,AmericanConformityandCriticism,AmericanNaturalisticandSymbolic,,,,
329,Prince,PrinceFTFrankTempleton,Prince,FTFrankTempleton,1912,1947,1910,1940,,M,,African/SouthAfrican,Postwar,Modernism,,,,,,Postwar,,,,,,
330,Quinn,QuinnJustin,Quinn,Justin,1968,2003,,2000,1980_2010,M,,Irish/European,Postwar,,,,,,,,,,,,,
331,Ramanujan,RamanujanAK,Ramanujan,AK,1929,1964,,1960,1950_1980,M,Indian/SouthAsian/Asian,Postcolonialism,Postwar,,,,,,,Postwar,,,,,,
332,Ramke,RamkeBin,Ramke,Bin,1947,1982,,1980,1980_2010,M,,American/NorthAmerican,AmericanConfessional,,,,,,,Postwar,,,,,,
333,Randall,RandallDudley,Randall,Dudley,1914,1949,,1940,1920_1950,M,African-American,American/NorthAmerican,BlackArts,,,,,,,AmericanConfessional,Postwar,,,,,
